V04YHL_vamb.15881 897
V0N1JE_maxbin.033 1158
V137O7_vamb.192542 985
V1BPF7_metabat.81 802
V1T1XL_maxbin.051 891
V23PXU_maxbin.096_sub 1175
V23PXU_vamb.184126_sub 1010
V23PXU_vamb.263341_sub 732
V2906Q_metabat.86 734
V2E7YL_vamb.245422 1172
V2E7YL_vamb.268543 728
V2O859_maxbin.020 806
V2O859_metabat.41 1136
V2PIKN_maxbin.083_sub 1175
V2PPRV_vamb.197985 746
V2VJWP_metabat.120 701
V32MIP_maxbin.070 1102
V3I3JQ_maxbin.043 1178
V3NRFY_maxbin.009 904
V3SIEJ_metabat.102_sub 648
V3TLP0_maxbin.016 985
V4AA4Y_maxbin.210_sub 2000
V4ALXV_maxbin.245_sub 1653
V4ALXV_metabat.120 937
V4BF1X_vamb.32977 1098
V4HFBS_maxbin.038 1238
V4HFBS_maxbin.043 869
V4HFBS_maxbin.089 1237
V4J3DG_maxbin.109_sub 1167
V4J3DG_vamb.219797 773
V4JH2B_maxbin.095 884
V4L9I1_metabat.169 652
V4LPYS_vamb.55663 1090
V549I8_metabat.10 1040
V549I8_metabat.171 829
V5RT3Y_vamb.462 898
V60HX3_maxbin.042 906
V66SVJ_maxbin.012 1357
V6FAO7_vamb.156067 1026
V6PGJM_vamb.30806 1162
V6SZC7_metabat.120 977
V6WFKS_vamb.24139 1144
V7FW1R_metabat.79 983
V7HAZ8_vamb.8294 957
V7IKOL_maxbin.064 1202
V7LAPG_vamb.49862 799
V7OQ6K_vamb.183465 1266
V88BZU_vamb.13948 860
V8FXNG_vamb.15986 978
V8IY68_vamb.253055 1051
V8NC3I_maxbin.032 754
V8ODQ7_vamb.248458 1252
V8X023_vamb.114300 1050
V90RVA_vamb.167314 1186
V9CUTJ_vamb.197819 873
V9E7KF_maxbin.044 934
V9KDRC_maxbin.137 951
V9KP7B_maxbin.059 1099
V9Q7Z9_metabat.232 869
V9V2LZ_maxbin.119 314
V9V2LZ_vamb.150001 977
